029,201,198,001,042,038,049,072,050,078,037,081
031,202,199,002,043,070,052,073,069,051,077,148
089,203,200,003,044,085,053,074,071,075,080,149
090,204,210,004,045,086,062,076,105,079,082,156
091,205,211,005,046,087,064,111,109,119,083,184
092,206,212,006,047,088,065,128,110,123,121,191
093,207,214,007,048,112,066,151,113,124,122,192
094,208,215,008,054,173,067,181,117,126,125,193
095,209,216,009,055,174,068,182,129,135,127,
096,224,217,010,056,188,143,185,130,137,133,
097,225,218,011,057,189,144,186,138,140,134,
098,226,219,012,058,213,147,,139,145,136,
099,227,220,013,059,,176,,141,146,154,
100,228,221,014,060,,179,,142,150,155,
101,229,222,015,061,,,,178,152,177,
102,230,223,016,063,,,,180,153,183,
103,231,,017,,,,,,,190,
104,232,,018,,,,,,,,
106,,,019,,,,,,,,
107,,,020,,,,,,,,
114,,,021,,,,,,,,
115,,,022,,,,,,,,
116,,,023,,,,,,,,
118,,,024,,,,,,,,
120,,,025,,,,,,,,
131,,,026,,,,,,,,
132,,,027,,,,,,,,
157,,,028,,,,,,,,
158,,,030,,,,,,,,
159,,,032,,,,,,,,
160,,,033,,,,,,,,
161,,,034,,,,,,,,
162,,,035,,,,,,,,
165,,,036,,,,,,,,
166,,,039,,,,,,,,
169,,,040,,,,,,,,
170,,,041,,,,,,,,
171,,,084,,,,,,,,
172,,,108,,,,,,,,
175,,,163,,,,,,,,
194,,,164,,,,,,,,
195,,,167,,,,,,,,
196,,,168,,,,,,,,
197,,,187,,,,,,,,
